sub	run	valence	rt_valence	arousal	rt_arousal	stimulus
SRM001	2	4	1.6140778	NaN	NaN	C27_video.avi
SRM001	2	4	0.0006396	NaN	NaN	A7_video.avi
SRM001	2	4	0.0005708	NaN	NaN	A3_video.avi
SRM001	2	4	0.0007137	NaN	NaN	D21_video.avi
SRM001	2	4	0.0009781	NaN	NaN	D5_video.avi
SRM001	2	4	0.0018357	NaN	NaN	C22_video.avi
SRM001	2	4	0.0005013	NaN	NaN	B11_video.avi
SRM001	2	4	0.0009513	NaN	NaN	D27_video.avi
SRM001	2	4	0.0004548	NaN	NaN	C10_video.avi
SRM001	2	4	0.0005004	NaN	NaN	B29_video.avi
SRM001	2	4	0.0003667	NaN	NaN	D17_video.avi
SRM001	2	4	0.0004573	NaN	NaN	A10_video.avi
SRM001	2	4	0.0003593	NaN	NaN	A22_video.avi
SRM001	2	4	0.0004669	NaN	NaN	C8_video.avi
SRM001	2	4	0.0006134	NaN	NaN	C26_video.avi
SRM001	2	4	0.00035	NaN	NaN	C1_video.avi
SRM001	2	4	0.0003844	NaN	NaN	D15_video.avi
SRM001	2	4	0.0003913	NaN	NaN	C9_video.avi
SRM001	2	4	0.0004485	NaN	NaN	D26_video.avi
SRM001	2	4	0.0004954	NaN	NaN	B18_video.avi
